ISO3;Land;Jahr;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);Gesamtschadstoffe (ug/m3);Erkrankungen des Kreislaufsystems (Todesfalle pro 100.000);Erkrankungen der Atemwege (Todesfalle pro 100.000);Krebs der Atemwege (Todesfalle pro 100.000);Todesfalle insgesamt (pro 100.000);Fossiler_Energieerzeugung (TWh);nukleare_Energieerzeugung (TWh);Erneuerbare_Energieerzeugung (TWh);Erneuerbare + nukleare_Energieerzeugung (TWh)
IRL;Ireland;2016;8,87;13,75;14,58;37,2;148,34;6,3;10,43;165,07;23;0;8;8
IRL;Ireland;2017;7,33;12,31;14,05;33,69;143,76;6,5;10,12;160,38;22;0;9;9
IRL;Ireland;2018;7,87;13,59;13,68;35,14;137,79;6,58;9,59;153,96;21;0;10;10
IRL;Ireland;2019;8,9;14,21;16,47;39,58;135,65;6,3;9,87;151,82;20;0;11;11
ITA;Italy;2010;20,09;27,55;27,79;75,43;159,79;3,35;12,26;175,4;221;0;77;77
ITA;Italy;2011;19,72;26,98;26,38;73,08;159,32;3,85;12,43;175,6;217;0;83;83
ITA;Italy;2012;19,15;26,17;25,62;70,94;159,01;3,45;11,83;174,29;204;0;92;92
ITA;Italy;2013;18,27;25,56;24,81;68,64;149,21;3,43;11,43;164,07;175;0;112;112
ITA;Italy;2014;16,1;23,51;22,91;62,52;143,61;3,21;11,15;157,97;157;0;121;121
ITA;Italy;2015;18,68;26,74;23,55;68,97;152,05;3,73;10,97;166,75;172;0;109;109
ITA;Italy;2016;16,37;23,64;21,96;61,97;138,23;3,3;10,34;151,87;179;0;108;108
ITA;Italy;2017;17,19;25,15;21,85;64,19;141,6;3,54;10,18;155,32;189;0;104;104
ITA;Italy;2018;15,29;23,33;19,45;58,07;133,24;3,84;9,77;146,85;173;0;114;114
ITA;Italy;2019;14,43;22,6;19,41;56,44;125,54;3,84;9,01;138,39;173;0;117;117
LVA;Latvia;2010;21,49;26,07;34,62;82,18;492,92;13,09;18,07;524,08;3;0;4;4
LVA;Latvia;2011;19,39;24,39;26,83;70,61;466,18;14,86;17,05;498,09;3;0;3;3
LVA;Latvia;2012;17,82;22,83;23,38;64,03;470,47;13,55;16,63;500,65;2;0;4;4
LVA;Latvia;2013;14,1;21,55;17,58;53,23;462,4;16,84;15,49;494,73;3;0;4;4
LVA;Latvia;2014;16,72;24,84;16,7;58,26;447,47;11,71;14,82;474;2;0;3;3
LVA;Latvia;2015;16,2;21,22;15,71;53,13;438,6;10,19;14,04;462,83;3;0;3;3
LVA;Latvia;2016;13,8;19,23;13,07;46,1;429,5;12,68;12,83;455,01;3;0;3;3
LVA;Latvia;2017;12,71;18,14;12,11;42,96;424,8;12,02;14,04;450,86;2;0;5;5
LVA;Latvia;2018;14,17;21,87;13,94;49,98;417,33;13,67;12,8;443,8;3;0;3;3
LVA;Latvia;2019;11,43;19,88;13,04;44,35;392,4;11,77;12,84;417,01;3;0;3;3
LTU;Lithuania;2010;15,86;28,16;14,18;58,2;479,79;12,2;16,09;508,08;4;0;1;1
LTU;Lithuania;2011;15,58;27,92;14,22;57,72;459,51;12,13;15,59;487,23;3;0;1;1
LTU;Lithuania;2012;15,41;28,43;14,45;58,29;451,08;12,02;16,25;479,35;3;0;1;1
LTU;Lithuania;2013;15,09;28,81;14,75;58,65;442,44;14,53;16,53;473,5;2;0;2;2
LTU;Lithuania;2014;14,29;26,69;13,91;54,89;419,49;10,21;16,17;445,87;2;0;2;2
LTU;Lithuania;2015;12,48;23,05;13,65;49,18;431,91;12;16,16;460,07;2;0;2;2
LTU;Lithuania;2016;11,04;21,22;14,31;46,57;418,07;12,4;14,17;444,64;1;0;2;2
LTU;Lithuania;2017;11,74;19,97;14;45,71;396,95;9,33;13,23;419,51;1;0;3;3
LTU;Lithuania;2018;13,67;24,32;16,51;54,5;381,81;10,38;12,01;404,2;1;0;2;2
LTU;Lithuania;2019;13,16;23,76;14,57;51,49;361,4;11,09;12,3;384,79;1;0;2;2
LUX;Luxembourg;2010;14,07;19,13;23,73;56,93;167,25;4,66;13,52;185,43;3;0;3;0
LUX;Luxembourg;2011;14,35;19,34;24,12;57,81;163,8;5,66;14,3;183,76;2;0;2;0
LUX;Luxembourg;2012;15,14;19,01;23,35;57,5;151,78;4,13;15,8;171,71;2;0;2;0
LUX;Luxembourg;2013;15,93;19,25;25,83;61,01;141,15;4,52;12,35;158,02;1;0;2;0
LUX;Luxembourg;2014;11,74;18,32;20,12;50,18;134,23;5,27;13,49;152,99;2;0;2;0
LUX;Luxembourg;2015;11,58;19,46;21,96;53;127,82;3,38;10,06;141,26;1;0;2;0
LUX;Luxembourg;2016;11,1;19,17;18,96;49,23;131,81;4,86;17,28;153,95;0;0;1;0
LUX;Luxembourg;2017;9,84;18,42;18,01;46,27;133,28;4,18;11;148,46;0;0;1;1
LUX;Luxembourg;2018;9,48;18,65;25,48;53,61;131,57;9,21;1,53;142,31;0;0;1;1
LUX;Luxembourg;2019;7,99;15,86;21,27;45,12;109,78;5,6;9,41;124,79;0;0;1;1
MLT;Malta;2010;14,98;36,78;18,94;70,7;188,41;4,23;11,64;204,28;2;0;2;0
MLT;Malta;2011;14,54;34,76;18,01;67,31;230,59;3,42;10,4;244,41;2;0;2;0
MLT;Malta;2012;13,94;33,56;17,34;64,84;241,64;6,96;9,28;257,88;2;0;2;0
MLT;Malta;2013;13,21;30,2;17,56;60,97;189,04;6,42;7,77;203,23;2;0;2;0
MLT;Malta;2014;12,12;29,44;8,62;50,18;174,7;4,6;9,95;189,25;2;0;2;0
MLT;Malta;2015;13,31;29,81;17,48;60,6;182,24;3,03;10,9;196,17;1;0;2;0
MLT;Malta;2016;11,87;33,17;17,8;62,84;156,11;3,81;11,4;171,32;1;0;2;0
MLT;Malta;2017;11,64;26,94;18,32;56,9;156,02;4,51;11,14;171,67;1;0;2;0
MLT;Malta;2018;12,08;31,53;15,66;59,27;154,54;4,6;8,43;167,57;2;0;2;0
MLT;Malta;2019;11,8;29,87;14,96;56,63;152,23;4,32;9,34;165,89;2;0;2;0
NLD;Netherlands;2010;16,92;25,34;25,18;67,44;146,72;6,19;18,03;170,94;104;4;11;15
NLD;Netherlands;2011;16,34;24,32;24,83;65,49;139,19;7,02;18,52;164,73;97;4;12;16
NLD;Netherlands;2012;15,82;23,39;24,21;63,42;136,44;6,74;17,79;160,97;87;4;12;16
NLD;Netherlands;2013;14,33;21,88;23,47;59,68;133,01;5,94;17,38;156,33;87;3;12;15
