ISO3;Country;Year;PM2,5 (ug/m3);PM10 (ug/m3);NO2 (ug/m3);diseases of circulatory system (deaths per 100 000);diseases of respiratory system (deaths per 100 000);diseases of trachea/bronchus/lung cancer (deaths per 100 000);Fossil Energy Generation TWh;Nuclear Energy Generation TWh;Renewable Energy Generation TWh;Renewable + Nuclear Energy Generation TWh
GRC;Greece;2016;17,05;32,20;26,63;176,22;6,87;17,00;40;0;15;15
GRC;Greece;2017;16,46;28,74;28,84;182,12;5,25;15,89;41;0;14;14
GRC;Greece;2018;16,60;30,26;29,20;169,75;5,08;15,71;37;0;16;16
GRC;Greece;2019;16,84;29,48;24,62;166,37;5,72;15,01;34;0;16;16
HUN;Hungary;2010;21,64;29,78;20,98;418,73;16,18;41,32;19;16;3;19
HUN;Hungary;2011;20,54;28,72;7,16;402,07;17,27;39,93;18;16;3;19
HUN;Hungary;2012;18,56;27,73;19,43;400,94;14,83;39,22;16;16;3;19
HUN;Hungary;2013;17,02;26,22;19,35;387,05;15,75;37,90;12;15;3;18
HUN;Hungary;2014;15,85;25,30;18,82;380,50;15,90;36,48;11;16;3;19
HUN;Hungary;2015;12,43;26,42;19,73;376,09;15,92;38,55;11;16;3;19
HUN;Hungary;2016;10,13;24,03;18,82;370,67;16,30;34,13;13;16;3;19
HUN;Hungary;2017;14,85;27,15;20,31;381,84;18,65;32,57;13;16;3;19
HUN;Hungary;2018;18,58;25,80;18,80;372,47;18,04;31,72;12;16;4;20
HUN;Hungary;2019;14,80;23,45;17,78;361,09;18,73;28,39;13;16;5;21
ISL;Iceland;2010;7,74;20,95;7,23;166,34;3,27;13,17;1;0;18;18
ISL;Iceland;2011;7,71;17,43;8,43;155,38;4,25;13,23;1;0;19;19
ISL;Iceland;2012;7,69;15,59;7,32;142,04;3,47;8,82;1;0;19;19
ISL;Iceland;2013;7,43;11,66;1,08;149,35;2,42;9,93;1;0;20;20
ISL;Iceland;2014;7,64;6,03;2,99;137,87;4,57;12,32;1;0;20;20
ISL;Iceland;2015;6,43;9,52;11,45;150,28;2,39;7,55;1;0;21;21
ISL;Iceland;2016;6,70;8,91;8,22;140,68;5,16;10,97;1;0;21;21
ISL;Iceland;2017;5,20;10,24;7,81;132,22;3,42;10,29;1;0;22;22
ISL;Iceland;2018;4,33;9,42;7,72;124,32;3,59;6,74;1;0;22;22
ISL;Iceland;2019;3,99;9,61;8,53;128,47;2,99;5,80;1;0;23;23
IRL;Ireland;2010;11,46;17,09;17,58;173,45;6,10;12,98;24;0;4;4
IRL;Ireland;2011;11,23;16,98;16,82;172,64;6,30;12,81;22;0;5;5
IRL;Ireland;2012;10,54;16,82;15,85;171,61;5,82;12,43;22;0;5;5
IRL;Ireland;2013;10,88;16,52;13,26;167,14;5,99;11,56;20;0;6;6
IRL;Ireland;2014;7,57;14,72;7,19;162,45;6,20;11,23;19;0;6;6
IRL;Ireland;2015;7,03;13,29;6,66;156,54;6,49;10,77;20;0;8;8
IRL;Ireland;2016;8,87;13,75;14,58;148,34;6,30;10,43;23;0;8;8
IRL;Ireland;2017;7,33;12,31;14,05;143,76;6,50;10,12;22;0;9;9
IRL;Ireland;2018;7,87;13,59;13,68;137,79;6,58;9,59;21;0;10;10
IRL;Ireland;2019;8,90;14,21;16,47;135,65;6,30;9,87;20;0;11;11
ITA;Italy;2010;20,09;27,55;27,79;159,79;3,35;12,26;221;0;77;77
ITA;Italy;2011;19,72;26,98;26,38;159,32;3,85;12,43;217;0;83;83
ITA;Italy;2012;19,15;26,17;25,62;159,01;3,45;11,83;204;0;92;92
ITA;Italy;2013;18,27;25,56;24,81;149,21;3,43;11,43;175;0;112;112
ITA;Italy;2014;16,10;23,51;22,91;143,61;3,21;11,15;157;0;121;121
ITA;Italy;2015;18,68;26,74;23,55;152,05;3,73;10,97;172;0;109;109
ITA;Italy;2016;16,37;23,64;21,96;138,23;3,30;10,34;179;0;108;108
ITA;Italy;2017;17,19;25,15;21,85;141,60;3,54;10,18;189;0;104;104
ITA;Italy;2018;15,29;23,33;19,45;133,24;3,84;9,77;173;0;114;114
ITA;Italy;2019;14,43;22,60;19,41;125,54;3,84;9,01;173;0;117;117
LVA;Latvia;2010;21,49;26,07;34,62;492,92;13,09;18,07;3;0;4;4
LVA;Latvia;2011;19,39;24,39;26,83;466,18;14,86;17,05;3;0;3;3
LVA;Latvia;2012;17,82;22,83;23,38;470,47;13,55;16,63;2;0;4;4
LVA;Latvia;2013;14,10;21,55;17,58;462,40;16,84;15,49;3;0;4;4
LVA;Latvia;2014;16,72;24,84;16,70;447,47;11,71;14,82;2;0;3;3
LVA;Latvia;2015;16,20;21,22;15,71;438,60;10,19;14,04;3;0;3;3
LVA;Latvia;2016;13,80;19,23;13,07;429,50;12,68;12,83;3;0;3;3
LVA;Latvia;2017;12,71;18,14;12,11;424,80;12,02;14,04;2;0;5;5
LVA;Latvia;2018;14,17;21,87;13,94;417,33;13,67;12,80;3;0;3;3
LVA;Latvia;2019;11,43;19,88;13,04;392,40;11,77;12,84;3;0;3;3
LTU;Lithuania;2010;15,86;28,16;14,18;479,79;12,20;16,09;4;0;1;1
LTU;Lithuania;2011;15,58;27,92;14,22;459,51;12,13;15,59;3;0;1;1
LTU;Lithuania;2012;15,41;28,43;14,45;451,08;12,02;16,25;3;0;1;1
LTU;Lithuania;2013;15,09;28,81;14,75;442,44;14,53;16,53;2;0;2;2
LTU;Lithuania;2014;14,29;26,69;13,91;419,49;10,21;16,17;2;0;2;2
LTU;Lithuania;2015;12,48;23,05;13,65;431,91;12,00;16,16;2;0;2;2
LTU;Lithuania;2016;11,04;21,22;14,31;418,07;12,40;14,17;1;0;2;2
LTU;Lithuania;2017;11,74;19,97;14,00;396,95;9,33;13,23;1;0;3;3
LTU;Lithuania;2018;13,67;24,32;16,51;381,81;10,38;12,01;1;0;2;2
LTU;Lithuania;2019;13,16;23,76;14,57;361,40;11,09;12,30;1;0;2;2
LUX;Luxembourg;2010;14,07;19,13;23,73;167,25;4,66;13,52;3;0;0;0
LUX;Luxembourg;2011;14,35;19,34;24,12;163,80;5,66;14,30;2;0;0;0
LUX;Luxembourg;2012;15,14;19,01;23,35;151,78;4,13;15,80;2;0;0;0
LUX;Luxembourg;2013;15,93;19,25;25,83;141,15;4,52;12,35;1;0;0;0
LUX;Luxembourg;2014;11,74;18,32;20,12;134,23;5,27;13,49;2;0;0;0
LUX;Luxembourg;2015;11,58;19,46;21,96;127,82;3,38;10,06;1;0;0;0
LUX;Luxembourg;2016;11,10;19,17;18,96;131,81;4,86;17,28;0;0;0;0
LUX;Luxembourg;2017;9,84;18,42;18,01;133,28;4,18;11,00;0;0;1;1
LUX;Luxembourg;2018;9,48;18,65;25,48;131,57;9,21;1,53;0;0;1;1
LUX;Luxembourg;2019;7,99;15,86;21,27;109,78;5,60;9,41;0;0;1;1
MLT;Malta;2010;14,98;36,78;18,94;188,41;4,23;11,64;2;0;0;0
MLT;Malta;2011;14,54;34,76;18,01;230,59;3,42;10,40;2;0;0;0
MLT;Malta;2012;13,94;33,56;17,34;241,64;6,96;9,28;2;0;0;0
MLT;Malta;2013;13,21;30,20;17,56;189,04;6,42;7,77;2;0;0;0
MLT;Malta;2014;12,12;29,44;8,62;174,70;4,60;9,95;2;0;0;0
MLT;Malta;2015;13,31;29,81;17,48;182,24;3,03;10,90;1;0;0;0
MLT;Malta;2016;11,87;33,17;17,80;156,11;3,81;11,40;1;0;0;0
MLT;Malta;2017;11,64;26,94;18,32;156,02;4,51;11,14;1;0;0;0
MLT;Malta;2018;12,08;31,53;15,66;154,54;4,60;8,43;2;0;0;0
MLT;Malta;2019;11,80;29,87;14,96;152,23;4,32;9,34;2;0;0;0
NLD;Netherlands;2010;16,92;25,34;25,18;146,72;6,19;18,03;104;4;11;15
NLD;Netherlands;2011;16,34;24,32;24,83;139,19;7,02;18,52;97;4;12;16
NLD;Netherlands;2012;15,82;23,39;24,21;136,44;6,74;17,79;87;4;12;16
NLD;Netherlands;2013;14,33;21,88;23,47;133,01;5,94;17,38;87;3;12;15
NLD;Netherlands;2014;13,53;20,95;23,09;127,21;5,16;16,91;87;4;12;16
NLD;Netherlands;2015;12,54;19,17;21,69;128,83;6,05;16,13;92;4;14;18
NLD;Netherlands;2016;10,84;18,03;22,40;123,52;6,38;15,49;96;4;15;19
NLD;Netherlands;2017;11,09;18,81;21,72;118,71;6,03;14,78;96;3;17;20
NLD;Netherlands;2018;12,34;20,06;20,96;109,94;6,26;13,90;92;4;19;23
NLD;Netherlands;2019;10,91;18,39;19,66;99,17;5,76;12,75;95;4;23;27
NOR;Norway;2010;10,55;20,74;30,13;151,82;5,38;13,13;4;0;140;140
NOR;Norway;2011;9,93;20,54;30,11;146,96;6,27;12,22;3;0;142;142
NOR;Norway;2012;9,31;20,35;30,20;146,23;5,42;10,99;3;0;144;144
NOR;Norway;2013;8,92;20,70;30,37;134,33;5,51;10,55;3;0;146;146
NOR;Norway;2014;7,22;16,77;21,05;128,09;4,92;10,73;3;0;148;148
NOR;Norway;2015;6,52;15,54;21,54;125,28;4,87;9,68;3;0;150;150
NOR;Norway;2016;6,53;14,56;21,11;116,63;5,23;8,83;3;0;152;152
NOR;Norway;2017;6,04;13,15;19,14;112,43;5,30;8,54;3;0;154;154
NOR;Norway;2018;7,04;14,83;19,50;111,23;5,20;7,98;3;0;156;156
NOR;Norway;2019;6,45;13,63;19,42;109,23;5,40;8,11;3;0;158;158
POL;Poland;2010;29,42;37,05;17,92;335,60;10,58;24,22;146;0;11;11
POL;Poland;2011;26,87;34,38;17,29;317,68;10,91;23,60;150;0;13;13
POL;Poland;2012;25,45;33,19;17,03;323,69;9,71;23,27;145;0;17;17
POL;Poland;2013;24,48;32,99;16,83;315,02;11,43;22,47;147;0;17;17
POL;Poland;2014;24,82;34,52;16,71;292,37;9,38;21,59;139;0;20;20
POL;Poland;2015;23,30;32,83;16,50;302,49;10,86;21,35;142;0;23;23
POL;Poland;2016;22,40;31,04;16,37;272,92;10,94;19,98;143;0;23;23
POL;Poland;2017;22,87;31,74;16,22;263,16;10,78;18,86;146;0;24;24
POL;Poland;2018;23,28;32,18;16,16;256,29;12,18;18,18;148;0;22;22
POL;Poland;2019;18,73;26,37;14,61;247,58;12,20;16,87;138;0;25;25
PRT;Portugal;2010;8,05;24,17;21,38;169,25;7,13;12,46;25;0;28;28
PRT;Portugal;2011;7,93;23,35;19,35;151,93;7,50;13,28;28;0;24;24
PRT;Portugal;2012;7,23;22,73;16,33;152,32;6,09;12,73;26;0;19;19
PRT;Portugal;2013;6,38;20,35;14,87;143,90;6,75;13,76;21;0;29;29
PRT;Portugal;2014;7,62;18,33;12,99;147,02;7,05;12,71;20;0;32;32
PRT;Portugal;2015;9,85;20,25;15,91;143,60;6,70;12,51;27;0;24;24
PRT;Portugal;2016;7,20;17,98;14,72;141,90;8,35;12,59;27;0;32;32
PRT;Portugal;2017;9,31;20,28;18,28;137,53;6,51;12,88;35;0;23;23
PRT;Portugal;2018;7,86;17,94;18,09;136,06;7,03;11,99;29;0;29;29
PRT;Portugal;2019;6,55;17,43;16,27;132,54;7,34;12,03;24;0;28;28
ROU;Romania;2010;15,78;25,58;21,23;539,76;23,48;23,20;29;12;20;32
ROU;Romania;2011;15,92;25,30;21,19;511,28;22,28;22,98;34;12;16;28
ROU;Romania;2012;16,02;24,82;20,83;500,41;23,03;23,44;32;11;15;26
ROU;Romania;2013;16,05;24,58;20,75;470,18;21,44;22,70;27;12;20;32
ROU;Romania;2014;14,50;22,85;17,03;463,05;21,80;23,18;26;12;27;39
ROU;Romania;2015;16,77;24,48;16,30;467,23;23,14;22,71;28;12;26;38
ROU;Romania;2016;16,23;22,27;18,62;447,50;23,55;22,22;26;11;27;38
ROU;Romania;2017;19,14;24,53;18,98;444,19;23,48;21,73;28;12;24;36
ROU;Romania;2018;18,27;24,49;20,11;436,41;25,84;21,14;27;11;26;37
ROU;Romania;2019;15,96;23,48;21,21;418,06;27,69;19,92;23;11;25;36
SVK;Slovakia;2010;21,65;33,88;28,84;440,21;14,72;16,66;7;15;6;21
SVK;Slovakia;2011;21,34;32,39;27,38;390,34;13,65;16,23;8;15;5;20
SVK;Slovakia;2012;20,39;30,29;26,62;349,53;11,66;15,90;7;15;5;20
SVK;Slovakia;2013;19,93;28,73;24,23;348,40;13,35;16,43;6;16;6;22
SVK;Slovakia;2014;19,21;26,86;18,74;323,17;10,71;14,62;5;15;6;21
SVK;Slovakia;2015;18,66;27,50;26,59;315,34;11,54;14,23;5;15;6;21
SVK;Slovakia;2016;14,91;22,47;19,12;308,87;11,29;13,41;5;15;7;22
SVK;Slovakia;2017;19,04;26,54;19,98;318,69;12,67;13,18;6;15;7;22
SVK;Slovakia;2018;18,12;25,63;18,08;296,25;12,71;11,76;6;15;6;21
SVK;Slovakia;2019;15,59;22,30;16,84;284,71;12,34;11,43;6;15;7;22
SVN;Slovenia;2010;18,70;28,53;22,10;218,40;3,50;20,23;6;6;5;11
SVN;Slovenia;2011;18,30;26,82;21,98;207,18;3,71;19,31;6;6;4;10
SVN;Slovenia;2012;17,82;25,58;21,22;205,84;3,61;19,24;6;6;4;10
SVN;Slovenia;2013;17,14;24,95;21,02;198,39;2,94;18,17;5;5;5;10
SVN;Slovenia;2014;15,07;22,40;19,01;198,26;2,11;18,12;4;6;7;13
SVN;Slovenia;2015;17,64;25,93;20,75;197,84;3,38;18,16;5;6;4;10
SVN;Slovenia;2016;17,38;23,71;19,35;186,85;2,92;17,66;5;6;5;11
SVN;Slovenia;2017;16,53;24,61;22,38;184,92;2,37;17,83;5;6;4;10
SVN;Slovenia;2018;15,37;24,03;18,67;179,51;2,33;15,62;5;6;5;11
SVN;Slovenia;2019;12,45;20,63;18,89;170,69;2,61;13,39;5;6;5;11
ESP;Spain;2010;9,87;21,76;18,09;137,58;6,23;17,03;138;62;98;160
ESP;Spain;2011;12,79;18,11;17,71;132,45;6,80;16,66;146;58;88;146
ESP;Spain;2012;12,60;18,02;16,23;130,36;6,15;16,73;145;61;87;148
ESP;Spain;2013;8,45;18,33;15,80;122,44;5,91;16,05;113;57;111;168
ESP;Spain;2014;8,47;18,73;15,48;119,19;6,15;15,27;107;57;110;167
ESP;Spain;2015;9,50;20,31;16,83;122,42;6,54;15,38;123;57;97;154
ESP;Spain;2016;8,36;18,64;15,61;116,14;6,45;15,05;108;59;105;164
ESP;Spain;2017;9,55;20,32;16,50;115,47;6,12;14,25;127;58;88;146
ESP;Spain;2018;9,02;17,97;14,50;112,18;6,92;13,99;112;56;104;160
ESP;Spain;2019;8,97;18,78;14,31;106,25;6,68;13,46;113;58;100;158
SWE;Sweden;2010;7,45;17,25;20,39;182,17;4,24;8,94;9;58;82;140
SWE;Sweden;2011;7,22;17,39;19,82;175,28;4,35;8,36;6;60;84;144
SWE;Sweden;2012;6,72;16,92;18,34;173,67;3,97;7,74;4;64;98;162
SWE;Sweden;2013;6,38;17,93;17,70;166,33;4,25;7,67;4;66;83;149
SWE;Sweden;2014;8,09;17,50;15,65;158,98;3,66;7,84;3;65;86;151
SWE;Sweden;2015;6,39;15,10;14,03;156,74;4,10;6,65;3;56;102;158
SWE;Sweden;2016;5,86;13,98;14,76;150,97;4,23;6,83;4;63;89;152
SWE;Sweden;2017;5,02;13,71;14,24;145,91;3,49;5,99;3;66;95;161
SWE;Sweden;2018;6,57;17,23;15,25;141,36;3,98;6,05;4;69;91;160
SWE;Sweden;2019;5,62;15,88;14,38;130,07;3,83;5,39;4;67;100;167
CHE;Switzerland;2010;15,34;17,57;20,91;144,92;3,44;12,56;2;25;36;61
CHE;Switzerland;2011;14,58;20,76;25,15;137,11;3,54;12,09;1;26;37;63
CHE;Switzerland;2012;12,73;17,85;24,24;138,07;3,52;11,50;1;27;38;65
CHE;Switzerland;2013;14,05;18,13;24,57;133,36;3,91;11,08;1;28;39;67
CHE;Switzerland;2014;8,98;14,96;23,24;129,65;3,76;10,76;1;29;40;69
CHE;Switzerland;2015;11,45;16,56;23,96;126,87;3,82;10,42;1;30;41;71
CHE;Switzerland;2016;10,22;14,37;22,43;118,99;3,61;10,04;1;31;42;73
CHE;Switzerland;2017;11,48;14,60;22,49;117,81;3,80;9,69;1;32;43;75
CHE;Switzerland;2018;11,25;14,63;20,22;112,63;3,74;9,34;1;33;44;77
CHE;Switzerland;2019;9,36;13,03;19,30;106,27;3,51;8,14;1;34;45;79
GBR;United Kingdom;2010;12,46;18,40;28,32;164,19;10,91;13,21;291;62;26;88
GBR;United Kingdom;2011;12,32;18,13;26,65;144,59;11,10;12,58;261;69;35;104
GBR;United Kingdom;2012;12,20;18,01;25,83;143,77;9,87;12,42;249;70;41;111
GBR;United Kingdom;2013;12,17;17,77;24,03;140,73;10,30;12,04;232;71;53;124
GBR;United Kingdom;2014;11,78;16,56;23,70;133,61;9,91;11,84;207;64;65;129
GBR;United Kingdom;2015;9,73;15,44;22,85;134,65;11,01;11,41;182;70;83;153
GBR;United Kingdom;2016;9,80;16,06;25,04;128,52;11,75;11,03;181;72;82;154
GBR;United Kingdom;2017;9,06;14,62;22,74;125,77;10,64;10,44;166;70;97;167
GBR;United Kingdom;2018;9,84;16,15;21,82;126,27;11,70;10,28;155;65;108;173
GBR;United Kingdom;2019;9,59;16,04;21,67;118,15;11,10;9,41;145;57;117;174
